,index,facility_id,Longitude,Latitude
0,0,8433511,-78.454,42.086
1,62,7417811,-78.606,43.357
2,82,7417211,-78.854,43.048
3,148,7762611,-79.003,43.083
4,292,7222811,-73.648,40.826
5,318,7222111,-73.589,40.727
6,366,7221611,-73.648,40.618
7,756,10680411,-73.568,40.65
8,799,7221311,-73.568,40.645
9,836,7223311,-73.499,40.746
10,887,8469511,-75.434,43.886
11,925,7801111,-73.85,42.57
12,975,7819511,-73.81,43.249
13,1025,7952711,-74.16,41.12
14,1041,8175411,-73.966,41.206
15,1148,9330411,-74.068,40.619
16,1198,8310711,-73.785,40.647
17,1294,8309011,-73.946,40.76
18,1314,9333411,-73.761,40.611
19,1662,7982311,-73.9,40.78
20,1734,15488311,-72.94,40.814
21,1772,9318211,-73.389,40.734
22,1882,9316311,-73.293,40.787
23,1907,10749711,-72.376,41.106
24,1932,8121711,-73.34,40.92
25,2137,8452911,-73.129,40.917
26,2167,8452511,-72.877,40.957
27,2263,8452411,-73.066,40.817
28,2525,8452011,-73.34,40.69
29,2539,7981711,-73.064,40.816
30,2567,7981511,-73.079,40.95
31,2679,8504111,-78.91,42.96
32,2713,8538911,-76.493,43.472
33,2761,7980511,-76.532,43.459
34,2904,7814811,-78.078,42.654
35,2975,9333711,-73.85,42.272
36,3124,8462711,-78.159,42.983
37,3150,8375111,-73.456,44.713
38,3167,7806011,-79.248,42.094
39,3231,7805611,-79.348,42.492
40,3314,7968411,-74.893,44.95
41,3320,7864311,-73.745,42.54
42,3337,7863911,-73.748,42.626
43,3442,8427211,-74.418,41.428
44,3458,8427811,-73.98,41.57
45,3598,7435911,-76.225,43.067
46,3677,7243711,-75.601,43.08
47,3718,7994011,-73.973,40.728
48,3842,9326111,-73.966,40.715
49,3893,8105011,-73.977,40.699
50,4002,8036811,-75.62,43.98
51,4020,1140311,-97.086,36.721
52,4052,8350611,-95.277,36.222
53,4096,882511,-97.589,35.296
54,4124,8350311,-97.655,35.74
55,4144,8350011,-95.695,36.012
56,4186,8421611,-81.431,35.16
57,4403,3763611,-81.614,35.072
58,4445,15649011,-103.261,44.121
59,4451,17418211,-96.533,44.396
60,4463,15649111,-98.099,45.373
61,4475,7773211,-73.209,44.493
62,4487,4184611,-80.863,37.37
63,4520,547311,-111.912,33.425
64,4524,546011,-112.889,33.341
65,4525,1139111,-112.159,33.443
66,4528,1139411,-111.936,33.356
67,4536,4664211,-85.504,39.953
68,4596,5544111,-86.244,39.902
69,4632,4561111,-85.971,40.096
70,4662,12818011,-104.68,39.744
71,4671,1621811,-104.682,39.942
72,4695,16243211,-104.53,38.321
73,4731,1699811,-105.003,39.67
74,4737,13331311,-104.888,40.092
75,4751,4385111,-104.688,38.557
76,4759,4391711,-104.833,38.825
77,4794,17644211,-78.178,38.97
78,4832,6634511,-76.997,36.651
79,4870,7520511,-77.281,38.538
80,4936,6148811,-77.315,38.264
81,4960,6960711,-75.703,37.705
82,4966,6631811,-77.446,37.82
83,5080,6160611,-78.705,36.869
84,5132,5083411,-77.433,37.496
85,5164,4938911,-76.352,36.87
86,5230,4565211,-76.461,37.215
87,5289,16530111,-82.338,36.916
88,5331,5763511,-82.198,36.933
89,5394,6866611,-77.513,38.072
90,5469,4565711,-79.274,37.119
91,5505,15432111,-78.285,37.696
92,5531,5748311,-78.532,36.601
93,5563,9063611,-78.214,38.117
94,5623,5040011,-78.204,38.124
95,5654,4181011,-77.382,37.376
96,5733,6311211,-77.368,37.499
97,5737,5883511,-77.282,37.291
98,5823,10633611,-77.283,37.297
99,5848,6682611,-76.312,36.774
100,5890,6631311,-78.288,37.709
101,5898,9078811,-78.38,37.867
102,5941,6744911,-77.771,38.546
103,6001,9081211,-77.769,38.529
104,6043,9242811,-83.176,39.714
105,6187,15483511,-82.027,40.093
106,6237,7328911,-80.747,41.166
107,6259,15483111,-83.166,41.378
108,6309,7983011,-82.128,38.916
109,6544,8148511,-82.116,38.934
110,6678,8101311,-83.694,38.636
111,7046,8101411,-83.48,38.69
112,7092,8302011,-83.439,41.692
113,7100,8130811,-82.054,41.505
114,7222,6371011,-82.266,41.429
115,7371,9279711,-82.785,38.573
116,7471,8115711,-80.647,40.253
117,7516,8190811,-80.633,40.529
118,7734,9253811,-83.461,41.477
119,7916,8130311,-81.679,39.591
120,7963,9212911,-81.717,39.532
121,8061,9213011,-81.657,39.58
122,8136,9216611,-82.333,39.086
123,8235,9216911,-84.74,40.93
124,8378,8294311,-84.228,38.869
125,8436,8010811,-81.88,40.185
126,8564,13572311,-84.21,39.728
127,8701,13572411,-84.21,39.728
128,8797,8257511,-84.339,41.304
129,8872,8257111,-84.615,40.074
130,9064,9303411,-84.463,39.452
131,9136,9303211,-84.378,39.465
132,9257,8455211,-84.461,39.449
133,9401,9300011,-84.519,39.355
134,9449,8149511,-81.443,41.671
135,9522,7738711,-84.803,39.113
136,9597,5119811,-75.118,39.918
137,9638,6719711,-74.345,40.439
138,9649,7621211,-74.355,40.478
139,9705,7620811,-74.281,40.489
140,9733,6719611,-74.248,40.559
141,9776,8094711,-75.058,39.451
142,9814,7201811,-75.035,39.489
143,9830,7461611,-75.049,39.491
144,9846,7201911,-74.965,39.375
145,9922,7474911,-74.734,40.18
146,9954,7312511,-75.162,40.567
147,9996,7202611,-74.131,40.905
148,10010,7478411,-74.119,40.738
149,10026,7464111,-74.13,40.72
150,10044,7991211,-75.536,39.463
151,10060,7989011,-75.486,39.694
152,10092,7988911,-75.421,39.764
153,10152,5111011,-74.21,39.815
154,10382,7903511,-74.262,39.689
155,10400,5133111,-74.876,39.027
156,10436,5133011,-74.634,39.29
157,10488,7990011,-74.215,40.632
158,10828,7591211,-74.112,40.655
159,10842,7591411,-74.073,40.744
160,10886,8093811,-75.408,39.792
161,10902,7700911,-75.249,39.813
162,10922,5192511,-90.722,29.581
163,10934,9587011,-92.044,30.257
164,10946,13611411,-91.992,30.17
165,10958,5521211,-90.148,29.949
166,10970,8467311,-91.234,30.321
167,10991,5519911,-91.065,30.231
168,10997,5504511,-91.116,30.275
169,11016,7204011,-91.543,29.823
170,11027,5060411,-91.189,29.692
171,11029,5931611,-91.355,30.673
172,11053,8020711,-91.37,30.728
173,11093,6116111,-93.761,32.517
174,11097,7928011,-93.961,32.704
175,11121,7368411,-92.6,30.282
176,11133,6082711,-92.412,30.429
177,11173,5609111,-90.461,30.005
178,11179,5609311,-90.477,30.0
179,11185,5609011,-90.459,29.989
180,11206,5740811,-92.462,31.321
181,11223,7446811,-92.719,31.396
182,11253,5160611,-91.187,30.49
183,11283,7354411,-93.569,32.031
184,11291,7355011,-92.263,30.844
185,11312,8361211,-93.29,30.285
186,11318,7354911,-93.283,30.22
187,11325,6397411,-93.346,30.161
188,11350,7205111,-92.069,32.706
189,11357,7205211,-92.02,32.691
190,11372,7432611,-92.08,32.702
191,11401,7448111,-89.937,30.009
192,11407,6019011,-82.618,38.171
193,11424,6019911,-82.605,38.192
194,11476,5353311,-85.413,38.39
195,11497,5561611,-87.08,37.45
196,11506,5891711,-87.061,37.795
197,11564,7335511,-83.818,38.7
198,11601,5213311,-88.396,37.029
199,11809,5523111,-84.262,37.881
200,11826,5163011,-84.102,37.882
201,12057,6098611,-87.501,37.647
202,12075,6067211,-87.503,37.646
203,12161,5742811,-85.412,38.585
204,12279,5933111,-84.714,37.789
205,12414,6037011,-88.777,37.152
206,12522,5198511,-85.035,38.75
207,12578,6040811,-84.851,38.905
208,12594,5787711,-84.591,36.999
209,12642,5196711,-86.978,37.259
210,12697,5196411,-87.121,37.364
211,12809,3773211,-98.87,38.41
212,12829,9639411,-94.903,38.532
213,12836,5367811,-94.647,38.347
214,12951,4476411,-96.962,37.237
215,12959,3823011,-95.569,39.054
216,13015,3822711,-99.95,37.733
217,13025,3167811,-100.895,37.97
218,13050,3167611,-100.972,37.931
219,13079,5500911,-97.873,38.091
220,13201,5406811,-96.117,39.286
221,13282,3878111,-94.699,37.072
222,13316,9637911,-94.986,38.788
223,13344,3772011,-100.762,37.159
224,13354,5603311,-97.413,37.596
225,13395,5603211,-97.522,37.79
226,13557,5380511,-97.61,38.39
227,13572,5380211,-97.684,38.363
228,13612,12635811,-96.066,38.447
229,13696,5414711,-95.459,37.696
230,13703,2964211,-95.612,37.037
231,13712,4827111,-95.27,39.008
232,13820,4627911,-94.64,39.15
233,13884,4633811,-94.697,39.169
234,13978,4126711,-97.275,39.612
235,13985,6281811,-109.286,40.086
236,14049,7197711,-108.478,36.687
237,14169,13606211,-111.389,36.905
238,14343,8141311,-80.356,40.654
239,14465,8406511,-76.173,40.822
240,14505,4105211,-75.993,40.874
241,14550,8331411,-76.178,40.782
242,14590,4105111,-76.199,40.79
243,14708,4735811,-76.45,40.619
244,14742,1139311,-112.216,33.556
245,14829,3897711,-76.366,40.351
246,14837,5003711,-117.334,33.141
247,15014,8518911,-119.37,45.804
248,15047,6970611,-88.493,30.34
249,15054,9736911,-81.282,32.275
250,15074,5684111,-121.781,36.806
251,15132,6902411,-80.819,39.846
252,15210,1117411,-93.804,35.464
253,15220,3762011,-76.455,40.809
254,15283,6594511,-78.702,40.479
255,15339,6594311,-78.747,40.455
256,15445,6558911,-75.478,40.692
257,15497,12796911,-75.107,40.802
258,15501,2532311,-83.3,33.194
259,15686,12766611,-87.425,39.531
260,15692,13645711,-85.038,33.407
261,15731,7889011,-75.877,40.856
262,15815,6515911,-115.538,32.804
263,15831,8250811,-81.638,41.533
264,15945,7036511,-89.676,33.015
265,15947,4760211,-79.811,41.268
266,16040,7304911,-89.413,31.982
267,16313,977911,-110.905,32.16
268,16495,7410911,-74.749,40.143
269,16527,9202811,-74.742,40.147
270,16588,7154411,-89.394,31.218
271,16777,7785211,-91.902,34.218
272,16788,7139511,-89.3,31.528
273,16815,4919511,-121.464,38.448
274,16820,6966711,-90.22,32.379
275,16822,6802311,-90.213,32.356
276,16840,10723711,-75.422,39.807
277,16847,4724611,-75.336,39.862
278,16877,14803411,-85.902,32.999
279,16911,1021011,-85.97,34.013
280,16935,10552611,-87.063,34.64
281,16991,7916011,-87.021,34.627
282,17037,10560211,-88.057,30.748
283,17055,1056111,-88.013,31.006
284,17067,1062911,-88.129,30.525
285,17147,953511,-85.096,32.607
286,17156,953311,-85.039,32.541
287,17271,560011,-86.739,32.653
288,17305,10583111,-86.574,32.382
289,17358,10708711,-86.739,32.649
290,17409,7212811,-87.849,34.744
291,17497,10535111,-86.282,33.167
292,17529,949211,-86.457,33.245
293,17595,1018911,-85.753,34.887
294,17607,1028911,-88.029,31.256
295,17613,1028611,-87.91,31.488
296,17767,949511,-87.998,31.263
297,17798,7917311,-87.2,33.645
298,17850,967611,-86.474,31.4
299,17904,10569911,-85.972,33.588
300,17934,1020111,-86.521,32.309
301,17958,1036811,-87.782,32.601
302,18018,5720111,-90.144,35.072
303,19077,8392811,-82.543,35.471
304,19289,10704311,-112.865,33.348
305,19301,1139211,-111.751,33.334
306,19319,545911,-112.841,33.335
307,19331,10704411,-112.694,32.976
