,facility_id,Longitude,Latitude,PEC_Gnd_Winter,PEC_Gnd_Spring,PEC_Gnd_Summer,PEC_Gnd_Fall,PEC_Gnd_Annual,PEC_150m_Winter,PEC_150m_Spring,PEC_150m_Summer,PEC_150m_Fall,PEC_150m_Annual,PEC_300m_Winter,PEC_300m_Spring,PEC_300m_Summer,PEC_300m_Fall,PEC_300m_Annual,SO2_Gnd_Winter,SO2_Gnd_Spring,SO2_Gnd_Summer,SO2_Gnd_Fall,SO2_Gnd_Annual,SO2_150m_Winter,SO2_150m_Spring,SO2_150m_Summer,SO2_150m_Fall,SO2_150m_Annual,SO2_300m_Winter,SO2_300m_Spring,SO2_300m_Summer,SO2_300m_Fall,SO2_300m_Annual,NOX_Gnd_Winter,NOX_Gnd_Spring,NOX_Gnd_Summer,NOX_Gnd_Fall,NOX_Gnd_Annual,NOX_150m_Winter,NOX_150m_Spring,NOX_150m_Summer,NOX_150m_Fall,NOX_150m_Annual,NOX_300m_Winter,NOX_300m_Spring,NOX_300m_Summer,NOX_300m_Fall,NOX_300m_Annual,NH3_Gnd_Winter,NH3_Gnd_Spring,NH3_Gnd_Summer,NH3_Gnd_Fall,NH3_Gnd_Annual,NH3_150m_Winter,NH3_150m_Spring,NH3_150m_Summer,NH3_150m_Fall,NH3_150m_Annual,NH3_300m_Winter,NH3_300m_Spring,NH3_300m_Summer,NH3_300m_Fall,NH3_300m_Annual
0,8433511,-78.454,42.086,208765.17579279403,131921.11066329732,150594.39926477402,178171.85826665518,167363.13599688013,133241.0095741986,79071.43371733774,88294.37193928428,109806.49561148747,102603.32771057702,108829.04249514146,68214.21585704488,78998.96705984483,85281.49061428414,85330.92900657882,29607.822814025832,34023.06103162712,45991.856722422184,22307.23614028905,32982.494177091045,26674.552021191936,33052.389388099626,44366.068386573075,22555.757292765476,31662.19177215753,22466.046395202808,31630.969968010515,38354.55805381427,20120.293742111786,28142.967039784842,21752.085120908232,11754.299707290964,5680.420474158296,10370.731892396228,12389.38429868843,19988.777000707258,8346.020878382715,4602.7588621658315,8647.172529872409,10396.182317782052,17382.601976658574,6859.871729283903,4314.932763672659,9342.60618781758,9475.003164358179,171911.7117312656,72792.31845331046,54875.73116812289,123099.5891341362,105669.8376217088,142878.21316933527,52968.07473800605,49987.995024174066,93310.29351372157,84786.14411130924,113528.32186372086,47991.81245430819,43187.41880461571,75002.45034054085,69927.5008657964
1,7417811,-78.606,43.357,230031.2137589354,166177.50648286904,161929.5010621931,176421.30521918653,183639.881630796,147471.2525342137,99306.86865674319,92265.41749182632,112449.24655400706,112873.19630919758,121096.38949338306,85916.38539778908,82395.05883596171,93274.75177046846,95670.64637440056,28343.82873650999,46092.86062309533,44515.12533166115,23945.880190312855,35724.42372039483,26754.395882675253,41401.23808929192,42248.68434627056,24849.014533729198,33813.33321299173,23997.350001215527,39523.76466503867,37560.009316169286,22356.441685287853,30859.391416927832,28907.390162268202,20408.628484023942,6401.270681654302,9797.223982513276,16378.62832761493,27844.031823072695,14058.481138246547,4700.923393865612,8370.725696625374,13743.540512952557,23648.80309313218,11707.401742120448,3309.466103920698,9279.244382638357,11986.228830452921,168961.03757594916,66073.83838163131,49169.86654055829,103432.54353259163,96909.32150768259,138897.51872541974,51690.41776061672,41732.566381184806,80536.1488984023,78214.16294140588,109921.81614220639,46971.6112561333,36697.682675634176,68532.55453820189,65530.91615304393
2,7417211,-78.854,43.048,353127.86682974675,253510.76923714235,281328.6393503326,276462.8403045979,291107.5289304549,198011.46598789695,140605.62290570684,149285.02416438246,154666.00689670566,160642.029988673,155856.7516317669,118784.12138863919,131621.13321827035,119310.99080608303,131393.2492611899,30167.82891019244,38897.161254764185,43575.13394553233,24925.62441254935,34391.43713075958,27246.913420286775,35588.43775173982,41799.16933631585,25503.47667174635,32534.4992950222,22731.387273334207,34447.189609102454,37593.08208745913,22589.34280312451,29340.250443255078,30719.848607246102,17433.63653520672,6909.966221837625,13311.742378817427,17093.798435776967,26738.411072929626,12076.152019308714,5572.502304769739,11127.279482115506,13878.586219780896,22777.544539899318,10017.402103436221,4261.640718063061,12044.811399930551,12275.349690332288,288012.0746815412,98094.24357080174,82756.19608240966,165585.0279463847,158611.88557028433,187978.63377441547,63276.4687968871,61055.92836471385,108993.82780638312,105326.21468559989,134375.8715807979,54824.034358041565,48901.26345978143,79425.87854640381,79381.76198625617
3,7762611,-79.003,43.083,262750.20425356104,174112.73232702454,177350.66057997633,200177.9703173279,203597.89186947246,163497.722493828,101864.89833283833,97095.81577214914,122711.95832493738,121292.59873093822,132372.1014314308,87807.160469326,86122.42312314869,99379.5919522896,101420.31924404876,30571.512694783192,41881.07630339457,41018.80464726817,23501.526813105185,34243.23011463778,27863.913480685904,36752.92272126287,38896.98611480581,24310.880612306908,31956.175732265372,23462.573185133897,35538.64793878667,33637.51641772905,21693.816714201766,28583.138563962842,32259.127409093544,18086.169777645515,5275.7818786472335,11406.688485117475,16756.94188762594,27253.5662488071,12017.929326843112,3964.1186213638935,9280.325511813593,13128.984927206924,23198.623293938366,9972.836762920024,2683.394598282693,9962.820099551449,11454.418688673133,199913.78387005004,72338.55603403457,61213.74302315654,120722.5636552167,113547.16164561447,156007.23338187957,55023.36955203893,50452.02795550733,89678.23208999498,87790.2157448552,119486.91164107209,50015.809782614204,43293.320845541835,73247.67445424802,71510.92918086905
4,7222811,-73.648,40.826,841659.8187931458,840336.2969761934,895533.5696261032,678007.9685203026,813884.4134789363,357142.04065108654,380890.25053404056,395307.47138281574,295019.4343442729,357089.79922805395,259611.98289060668,304396.424684135,341823.2752002775,207566.84280255734,278349.63139439415,16231.762892112714,59274.625117259624,57886.48094953678,30859.197014949186,41063.01649346458,13741.097243343276,55876.62489069799,55777.76684088299,29210.850506710933,38651.5848704088,10716.639989049187,51100.859014627014,56304.61328073133,25089.53722116284,35802.912376392596,39579.261277081154,52251.51362792895,22117.121581544263,54807.3515194301,42188.81200149612,21896.670377419614,39826.065985879824,16829.63970392029,53339.01002731507,32972.8465236337,18764.02706988182,32177.20556322653,12764.645664984531,55212.94277305764,29729.70526778763,715097.2854107164,569888.6473999956,432969.14590411785,357546.5694837833,518875.4120496533,273910.98557676893,207772.4489809038,154262.81465935358,148437.06336783286,196095.82814621477,162047.13365874768,150163.45575699295,116514.30638742803,81808.22762424944,127633.28085685452
5,7222111,-73.589,40.727,841659.8187931458,840336.2969761934,895533.5696261032,678007.9685203026,813884.4134789363,357142.04065108654,380890.25053404056,395307.47138281574,295019.4343442729,357089.79922805395,259611.98289060668,304396.424684135,341823.2752002775,207566.84280255734,278349.63139439415,16231.762892112714,59274.625117259624,57886.48094953678,30859.197014949186,41063.01649346458,13741.097243343276,55876.62489069799,55777.76684088299,29210.850506710933,38651.5848704088,10716.639989049187,51100.859014627014,56304.61328073133,25089.53722116284,35802.912376392596,39579.261277081154,52251.51362792895,22117.121581544263,54807.3515194301,42188.81200149612,21896.670377419614,39826.065985879824,16829.63970392029,53339.01002731507,32972.8465236337,18764.02706988182,32177.20556322653,12764.645664984531,55212.94277305764,29729.70526778763,715097.2854107164,569888.6473999956,432969.14590411785,357546.5694837833,518875.4120496533,273910.98557676893,207772.4489809038,154262.81465935358,148437.06336783286,196095.82814621477,162047.13365874768,150163.45575699295,116514.30638742803,81808.22762424944,127633.28085685452
6,7221611,-73.648,40.618,841659.8187931458,840336.2969761934,895533.5696261032,678007.9685203026,813884.4134789363,357142.04065108654,380890.25053404056,395307.47138281574,295019.4343442729,357089.79922805395,259611.98289060668,304396.424684135,341823.2752002775,207566.84280255734,278349.63139439415,16231.762892112714,59274.625117259624,57886.48094953678,30859.197014949186,41063.01649346458,13741.097243343276,55876.62489069799,55777.76684088299,29210.850506710933,38651.5848704088,10716.639989049187,51100.859014627014,56304.61328073133,25089.53722116284,35802.912376392596,39579.261277081154,52251.51362792895,22117.121581544263,54807.3515194301,42188.81200149612,21896.670377419614,39826.065985879824,16829.63970392029,53339.01002731507,32972.8465236337,18764.02706988182,32177.20556322653,12764.645664984531,55212.94277305764,29729.70526778763,715097.2854107164,569888.6473999956,432969.14590411785,357546.5694837833,518875.4120496533,273910.98557676893,207772.4489809038,154262.81465935358,148437.06336783286,196095.82814621477,162047.13365874768,150163.45575699295,116514.30638742803,81808.22762424944,127633.28085685452
7,10680411,-73.568,40.65,841659.8187931458,840336.2969761934,895533.5696261032,678007.9685203026,813884.4134789363,357142.04065108654,380890.25053404056,395307.47138281574,295019.4343442729,357089.79922805395,259611.98289060668,304396.424684135,341823.2752002775,207566.84280255734,278349.63139439415,16231.762892112714,59274.625117259624,57886.48094953678,30859.197014949186,41063.01649346458,13741.097243343276,55876.62489069799,55777.76684088299,29210.850506710933,38651.5848704088,10716.639989049187,51100.859014627014,56304.61328073133,25089.53722116284,35802.912376392596,39579.261277081154,52251.51362792895,22117.121581544263,54807.3515194301,42188.81200149612,21896.670377419614,39826.065985879824,16829.63970392029,53339.01002731507,32972.8465236337,18764.02706988182,32177.20556322653,12764.645664984531,55212.94277305764,29729.70526778763,715097.2854107164,569888.6473999956,432969.14590411785,357546.5694837833,518875.4120496533,273910.98557676893,207772.4489809038,154262.81465935358,148437.06336783286,196095.82814621477,162047.13365874768,150163.45575699295,116514.30638742803,81808.22762424944,127633.28085685452
8,7221311,-73.568,40.645,841659.8187931458,840336.2969761934,895533.5696261032,678007.9685203026,813884.4134789363,357142.04065108654,380890.25053404056,395307.47138281574,295019.4343442729,357089.79922805395,259611.98289060668,304396.424684135,341823.2752002775,207566.84280255734,278349.63139439415,16231.762892112714,59274.625117259624,57886.48094953678,30859.197014949186,41063.01649346458,13741.097243343276,55876.62489069799,55777.76684088299,29210.850506710933,38651.5848704088,10716.639989049187,51100.859014627014,56304.61328073133,25089.53722116284,35802.912376392596,39579.261277081154,52251.51362792895,22117.121581544263,54807.3515194301,42188.81200149612,21896.670377419614,39826.065985879824,16829.63970392029,53339.01002731507,32972.8465236337,18764.02706988182,32177.20556322653,12764.645664984531,55212.94277305764,29729.70526778763,715097.2854107164,569888.6473999956,432969.14590411785,357546.5694837833,518875.4120496533,273910.98557676893,207772.4489809038,154262.81465935358,148437.06336783286,196095.82814621477,162047.13365874768,150163.45575699295,116514.30638742803,81808.22762424944,127633.28085685452
9,7223311,-73.499,40.746,841659.8187931458,840336.2969761934,895533.5696261032,678007.9685203026,813884.4134789363,357142.04065108654,380890.25053404056,395307.47138281574,295019.4343442729,357089.79922805395,259611.98289060668,304396.424684135,341823.2752002775,207566.84280255734,278349.63139439415,16231.762892112714,59274.625117259624,57886.48094953678,30859.197014949186,41063.01649346458,13741.097243343276,55876.62489069799,55777.76684088299,29210.850506710933,38651.5848704088,10716.639989049187,51100.859014627014,56304.61328073133,25089.53722116284,35802.912376392596,39579.261277081154,52251.51362792895,22117.121581544263,54807.3515194301,42188.81200149612,21896.670377419614,39826.065985879824,16829.63970392029,53339.01002731507,32972.8465236337,18764.02706988182,32177.20556322653,12764.645664984531,55212.94277305764,29729.70526778763,715097.2854107164,569888.6473999956,432969.14590411785,357546.5694837833,518875.4120496533,273910.98557676893,207772.4489809038,154262.81465935358,148437.06336783286,196095.82814621477,162047.13365874768,150163.45575699295,116514.30638742803,81808.22762424944,127633.28085685452
