,index,facility_id,Longitude,Latitude
0,0,6436311,-96.082,30.619
1,2,4018411,-97.214,28.713
2,4,4837411,-106.432,31.984
3,10,3968411,-95.636,29.479
4,18,4144811,-96.752,29.914
5,24,3981511,-97.271,30.146
6,30,6498311,-94.619,32.018
7,36,13385811,-96.489,31.182
8,40,7552911,-96.696,31.093
9,44,7926611,-98.31,32.658
10,50,4930011,-102.57,34.185
11,54,4862411,-94.066,30.057
12,60,7908711,-94.69,32.448
13,62,4845611,-94.485,32.461
14,66,3052111,-96.055,31.821
15,70,4898511,-98.477,28.704
16,72,5617211,-98.32,29.306
17,80,4036111,-95.038,33.092
18,84,4164411,-94.843,33.056
19,92,5745311,-101.748,35.299
20,98,13408411,-97.061,30.567
21,102,4204811,-97.063,30.566
22,104,15628511,-96.955,31.475
23,106,5650511,-96.253,31.424
24,110,6599611,-96.461,30.722
25,119,5729111,-94.902,29.771
26,122,5847411,-94.923,29.752
27,140,5729511,-94.991,31.94
28,152,16862411,-96.614,33.577
29,158,4018911,-98.14,29.624
30,161,7720411,-97.973,29.593
31,179,14748411,-94.257,30.303
32,185,4925011,-95.046,29.626
33,194,6429411,-95.11,29.816
34,206,6616311,-95.072,29.703
35,209,4926511,-95.535,29.942
36,221,6422111,-95.177,29.725
37,224,6510011,-95.232,29.719
38,227,4057511,-95.121,29.837
39,230,7907811,-95.041,29.695
40,263,6509911,-95.136,29.714
41,278,4777911,-95.223,29.819
42,314,6429511,-95.067,29.626
43,350,4927111,-97.991,29.781
44,362,4863311,-96.101,32.124
45,371,5655011,-98.372,30.558
46,380,5613211,-94.548,32.849
47,398,7652411,-94.723,32.922
48,401,13389311,-94.9,31.832
49,404,5611911,-97.31,27.608
50,410,4189011,-97.419,27.819
51,416,4206511,-97.428,27.814
52,432,5678011,-101.746,35.284
53,455,5780011,-97.258,27.889
54,479,9071611,-97.613,30.209
55,491,5021711,-97.612,30.304
56,530,8515911,-102.959,31.583
57,545,8516011,-95.899,29.264
58,548,13392711,-96.068,29.289
59,560,7927311,-99.176,34.083
60,563,9051811,-97.909,33.061
61,569,8532511,-98.612,33.135
62,578,5860711,-96.45,33.07
63,590,5632311,-95.746,29.072
64,602,4836411,-96.546,32.837
65,608,5729911,-96.937,32.726
66,623,3115511,-97.106,33.197
67,629,5617311,-97.359,31.859
68,638,16861111,-97.315,31.055
69,653,3000111,-98.575,29.352
70,662,5616511,-98.381,29.257
71,710,4852511,-96.111,31.89
72,728,3930911,-94.942,29.377
73,734,9132111,-94.932,29.378
74,755,9123111,-94.436,32.396
75,761,4846411,-98.19,26.34
76,767,7908611,-98.399,26.208
77,770,6141711,-98.175,26.342
78,779,9116611,-97.731,32.334
79,782,6153011,-97.698,32.404
80,797,5649311,-101.422,32.273
81,803,5655711,-96.127,33.171
82,809,7910111,-101.36,35.696
83,815,13385011,-97.957,33.101
84,836,6364211,-97.409,32.399
85,839,9146511,-96.492,32.756
86,857,7910611,-95.59,33.631
87,869,6431011,-95.557,33.697
88,875,4946011,-102.41,34.166
89,899,4030611,-101.74,33.524
90,905,5655211,-101.791,33.521
91,908,5655311,-101.841,33.604
92,917,4204911,-100.913,32.334
93,935,7910511,-95.521,30.436
94,941,9118811,-93.736,30.258
95,953,5730811,-93.877,30.022
96,965,6509111,-93.758,30.055
97,971,5731011,-93.772,30.044
98,1016,4207311,-94.571,32.261
99,1034,14748511,-95.011,30.419
100,1040,4916711,-97.218,32.727
101,1052,5863011,-97.135,28.895
102,1058,6497211,-97.011,28.789
103,1064,5023911,-99.508,27.568
104,1070,5129311,-102.742,32.972
105,1088,3981311,-97.27,30.148
106,1094,3981411,-97.549,30.144
107,1115,14748911,-96.994,30.024
108,1136,9138811,-95.623,29.473
109,1172,3968311,-102.326,31.84
110,1181,13408111,-102.317,31.841
111,1196,6494211,-97.056,32.429
112,1211,6389111,-96.675,32.321
113,1238,3049111,-106.375,31.758
114,1244,4020611,-94.641,32.377
115,1259,6436111,-95.918,30.593
116,6695,6493311,-97.522,25.913
117,0,6598311,-96.372,30.648
118,8,5679711,-96.956,28.673
119,18,6584511,-96.343,30.618
120,36,4942411,-95.399,29.703
121,70,5862111,-97.596,27.811
122,73,4929511,-97.821,27.57
123,79,5746611,-97.245,27.883
124,85,4897811,-95.342,28.98
125,94,15625011,-101.844,33.866
126,148,3930211,-99.092,28.93
127,235,4846511,-94.375,32.578
128,253,5655811,-101.433,35.667
129,268,4945211,-93.929,29.964
130,277,6445411,-93.884,29.954
131,280,5611511,-93.972,29.865
132,289,6158311,-93.952,29.979
133,316,6382211,-101.886,33.585
134,319,16870811,-94.436,30.749
135,337,5127311,-98.589,33.863
136,352,5846511,-96.769,28.51
137,361,5633411,-96.54,28.649
138,367,14749111,-94.74,31.369
139,1126,6429211,-97.868,26.271
