country_cd,region_cd,tribal_code,facility_id,unit_id,rel_point_id,process_id,agy_facility_id,agy_unit_id,agy_rel_point_id,agy_process_id,scc,poll,ann_value,ann_pct_red,facility_name,erptype,stkhgt,stkdiam,stktemp,stkflow,stkvel,naics,longitude,latitude,ll_datum,horiz_coll_mthd,design_capacity,design_capacity_units,reg_codes,fac_source_type,unit_type_code,control_ids,control_measures,current_cost,cumulative_cost,projection_factor,submitter_id,calc_method,data_set_id,facil_category_code,oris_facility_code,oris_boiler_id,ipm_yn,calc_year,date_updated,fug_height,fug_width_xdim,fug_length_ydim,fug_angle,zipcode,annual_avg_hours_per_year,jan_value,feb_value,mar_value,apr_value,may_value,jun_value,jul_value,aug_value,sep_value,oct_value,nov_value,dec_value,jan_pctred,feb_pctred,mar_pctred,apr_pctred,may_pctred,jun_pctred,jul_pctred,aug_pctred,sep_pctred,oct_pctred,nov_pctred,dec_pctred,comment
US,48185,,6436311,16959513,16506712,8375014,2,000002,000002,000013,10100302,18540299,0.022272,,GIBBONS CREEK,2,465,20,200,,82,22111,-96.081667,30.618603000000004,,,460,E6BTU/HR,63UUUUU,125,100,128,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,6136,1,6136_B_1,2015,20180117,,,,,77801,7335,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .12 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion - COAL
US,48185,,6436311,16959513,16506712,8375014,2,000002,000002,000013,10100302,16065831,0.163328,,GIBBONS CREEK,2,465,20,200,,82,22111,-96.081667,30.618603000000004,,,460,E6BTU/HR,63UUUUU,125,100,128,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,6136,1,6136_B_1,2015,20180117,,,,,77801,7335,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .88 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion - COAL
US,48175,,4018411,34509413,32887512,7771114,2,000001,000001,000001,10100201,16065831,0.21023200000000006,,COLETO CREEK POWER STATION,2,303,20,300,,87,22111,-97.214444,28.712831,,,6330,E6BTU/HR,63UUUUU,125,100,127,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,6178,1,6178_B_1,2015,20180117,,,,,77960,6370,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .88 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion - COAL
US,48175,,4018411,34509413,32887512,7771114,2,000001,000001,000001,10100201,18540299,0.028668,,COLETO CREEK POWER STATION,2,303,20,300,,87,22111,-97.214444,28.712831,,,6330,E6BTU/HR,63UUUUU,125,100,127,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,6178,1,6178_B_1,2015,20180117,,,,,77960,6370,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .12 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion - COAL
US,48141,,4837411,31689013,30303712,11027414,8,000003,000003,000003,10100601,16065831,0.003072,,NEWMAN STATION,2,128,11.25,300,,33.3,22111,-106.431658,31.983883,,,1030,E6BTU/HR,,125,100,,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,3456,3,3456_B_3,2015,20180117,,,,,79901,7921,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .96 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
US,48141,,4837411,31689013,30303712,11027414,8,000003,000003,000003,10100601,18540299,0.000128,,NEWMAN STATION,2,128,11.25,300,,33.3,22111,-106.431658,31.983883,,,1030,E6BTU/HR,,125,100,,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,3456,3,3456_B_3,2015,20180117,,,,,79901,7921,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .04 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
US,48141,,4837411,31689213,30304212,11027214,8,000001,000001,000001,10100601,16065831,0.00192,,NEWMAN STATION,2,121,11.16,300,,54.05,22111,-106.431667,31.983606,,,878,E6BTU/HR,,125,100,,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,3456,1,3456_B_1,2015,20180117,,,,,79901,5517,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .96 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
US,48141,,4837411,31689213,30304212,11027214,8,000001,000001,000001,10100601,18540299,8e-05,,NEWMAN STATION,2,121,11.16,300,,54.05,22111,-106.431667,31.983606,,,878,E6BTU/HR,,125,100,,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,3456,1,3456_B_1,2015,20180117,,,,,79901,5517,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .04 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
US,48141,,4837411,31688713,30304312,11027714,8,000002,000002,000002,10100601,16065831,0.002304,,NEWMAN STATION,2,121,11.16,300,,47.72,22111,-106.431658,31.983883,,,859,E6BTU/HR,,125,100,,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,3456,2,3456_B_2,2015,20180117,,,,,79901,7629,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .96 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
US,48141,,4837411,31688713,30304312,11027714,8,000002,000002,000002,10100601,18540299,9.6e-05,,NEWMAN STATION,2,121,11.16,300,,47.72,22111,-106.431658,31.983883,,,859,E6BTU/HR,,125,100,,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,3456,2,3456_B_2,2015,20180117,,,,,79901,7629,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .04 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
