country_cd,region_cd,tribal_code,facility_id,unit_id,rel_point_id,process_id,agy_facility_id,agy_unit_id,agy_rel_point_id,agy_process_id,scc,poll,ann_value,ann_pct_red,facility_name,erptype,stkhgt,stkdiam,stktemp,stkflow,stkvel,naics,longitude,latitude,ll_datum,horiz_coll_mthd,design_capacity,design_capacity_units,reg_codes,fac_source_type,unit_type_code,control_ids,control_measures,current_cost,cumulative_cost,projection_factor,submitter_id,calc_method,data_set_id,facil_category_code,oris_facility_code,oris_boiler_id,ipm_yn,calc_year,date_updated,fug_height,fug_width_xdim,fug_length_ydim,fug_angle,zipcode,annual_avg_hours_per_year,jan_value,feb_value,mar_value,apr_value,may_value,jun_value,jul_value,aug_value,sep_value,oct_value,nov_value,dec_value,jan_pctred,feb_pctred,mar_pctred,apr_pctred,may_pctred,jun_pctred,jul_pctred,aug_pctred,sep_pctred,oct_pctred,nov_pctred,dec_pctred,comment
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,1330207,7.009529999999999e-05,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .0304762 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,100414,3.50476e-05,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .0152381 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,91203,1.4237e-06,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .000619 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,75070,4.38095e-05,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .0190476 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,50000,0.000777619,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .3380952 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,107028,7.00948e-06,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .0030476 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,108883,0.000142381,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .0619048 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48041,,6598311,17346513,16868012,12928714,1,000004,000004,000004,20100201,71432,1.31429e-05,,ATKINS POWER STATION,2,35,11.2,500,,26.1,22111,-96.372483,30.647503000000004,,,300,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2014EPA_HAPAug,HAP,,,3561_G_7,2014,20180117,,,,,77801,8736,,,,,,,,,,,,,,,,,,,,,,,,,Emission multiplication factor of .0057143 applied to Texas Commission on Environmental Quality submitted VOC based on Augmentation Description of ice-natgas
US,48469,,5679711,22078613,21155112,3776414,1,000144,000204,000346,10200604,16065831,0.004416,,VICTORIA SITE,2,75,18,306,,48,325110,-96.956389,28.672778000000005,,,400,E6BTU/HR,,129,100,213,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,,,10790_G_GEN1,2015,20180117,,,,,77901,8760,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .96 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
US,48469,,5679711,22078613,21155112,3776414,1,000144,000204,000346,10200604,18540299,0.000184,,VICTORIA SITE,2,75,18,306,,48,325110,-96.956389,28.672778000000005,,,400,E6BTU/HR,,129,100,213,,,,,TXCEQ,5,2015EPA_Cr_Aug,HAP,,,10790_G_GEN1,2015,20180117,,,,,77901,8760,,,,,,,,,,,,,,,,,,,,,,,,,"Emission multiplication factor of .04 applied to Texas Commission on Environmental Quality submitted 7440473 based on Augmentation Description of fuel combustion natural gas, process gas, liquid propellant"
